PERIOD_NAME,PERIOD_YEAR,QUATER,PERIOD_NUM,MONTH_NAME,budegt_CHAPTER,JTRANSACTION_DATE,ACTUAL_FLAG,DR,CR,ANNUAL_BUDGET,ADJUSTMENT_BUDGET,REVISED_BUDGET,ACTUAL_AMOUNT,FUND_AVAILABLE,ENCUMBRANCE_AMOUNT,ENTITY_CODE,ENTITY_DESCRIPTION,DIRECTORATE,COST_CENTER_CODE,COST_CENTER_DESCRIPTION,BUDGET_GROUP_CODE,BUDGET_GROUP_DESCRIPTION,ACCOUNT_CODE,ACCOUNT_DESCRIPTION,ACTIVITY_CODE,ACTIVITY_DESCRIPTION,FUTURE1,FUTURE1_DESCRIPTION,FUTURE2,FUTURE2_DESCRIPTION,ACCOUNT_TYPE,LEDGER_NAME,ACCOUNTED_DR,ACCOUNTED_CR,ADDITION_BUDGET,TRANSFER_BUDGET,GL_CODE
Aug,2023,Q3,8,Aug,Manpower,2024-06-12,Y,63458.24,79791.42,258388.19,45754.5,304142.69,162116.83,119592.19,22433.67,E567,Entity E567,DVC-Academic,8450377,Cost Center 8450377,BG485,Budget Group BG485,A3822,IT Equipment,ACT947,Activity ACT947,F1-12,Future 1 F1-12,F2-12,Future 2 F2-12,Expense,Project Ledger,63458.24,79791.42,5065.63,15211.53,E567-BG485-8450377-A3822-F1-12-F2-12
Jul,2023,Q3,7,Jul,Capital,2024-06-24,Y,31316.2,79859.33,487102.35,42843.7,529946.0499999999,62344.97,121702.37999999989,345898.7,E986,Entity E986,VC Office,8450125,Cost Center 8450125,BG228,Budget Group BG228,A9766,Capital Expenditure,ACT208,Activity ACT208,F1-30,Future 1 F1-30,F2-39,Future 2 F2-39,Expense,Project Ledger,31316.2,79859.33,4978.65,26457.83,E986-BG228-8450125-A9766-F1-30-F2-39
Nov,2025,Q4,11,Nov,Capital,2024-05-07,Y,68686.1,9303.05,111745.66,41147.92,152893.58000000002,32069.88,75028.24000000002,45795.46,E326,Entity E326,DVC-Support Services,8450298,Cost Center 8450298,BG575,Budget Group BG575,A1264,Salary and Wages,ACT471,Activity ACT471,F1-59,Future 1 F1-59,F2-15,Future 2 F2-15,Expense,Project Ledger,68686.1,9303.05,9430.5,14135.04,E326-BG575-8450298-A1264-F1-59-F2-15
Dec,2023,Q4,12,Dec,Manpower,2024-07-31,N,49421.24,82824.93,234083.22,8688.08,242771.3,172856.57,12166.689999999973,57748.04,E289,Entity E289,DVC-Support Services,8450272,Cost Center 8450272,BG791,Budget Group BG791,A7450,Training and Development,ACT437,Activity ACT437,F1-67,Future 1 F1-67,F2-84,Future 2 F2-84,Expense,General Ledger,49421.24,82824.93,18627.86,10571.25,E289-BG791-8450272-A7450-F1-67-F2-84
Dec,2025,Q4,12,Dec,Capital,2024-12-15,Y,25397.49,3111.56,395717.89,5317.19,401035.08,126293.8,273692.56,1048.72,E146,Entity E146,DVC-Academic,8450310,Cost Center 8450310,BG759,Budget Group BG759,A7144,Training and Development,ACT858,Activity ACT858,F1-96,Future 1 F1-96,F2-72,Future 2 F2-72,Expense,Project Ledger,25397.49,3111.56,25991.6,6465.9,E146-BG759-8450310-A7144-F1-96-F2-72
May,2025,Q2,5,May,Manpower,2024-11-08,Y,40830.63,75924.87,461443.14,11638.16,473081.3,381963.96,85732.85999999999,5384.48,E306,Entity E306,DVC-Academic,8450319,Cost Center 8450319,BG214,Budget Group BG214,A5741,Consultancy Services,ACT350,Activity ACT350,F1-32,Future 1 F1-32,F2-68,Future 2 F2-68,Expense,Project Ledger,40830.63,75924.87,13411.67,13810.75,E306-BG214-8450319-A5741-F1-32-F2-68
Aug,2024,Q3,8,Aug,Capital,2024-02-04,Y,97680.03,11072.06,269019.37,2101.23,271120.6,200603.25,5777.01999999996,64740.33,E826,Entity E826,DVC-Support Services,8450259,Cost Center 8450259,BG182,Budget Group BG182,A8789,Utilities,ACT998,Activity ACT998,F1-51,Future 1 F1-51,F2-28,Future 2 F2-28,Expense,Project Ledger,97680.03,11072.06,540.2,28884.31,E826-BG182-8450259-A8789-F1-51-F2-28
Sep,2025,Q3,9,Sep,Operational,2024-05-03,Y,53267.59,63508.91,279936.88,10922.16,290859.04,34974.99,238396.68999999997,17487.36,E564,Entity E564,DVC-Academic,8450395,Cost Center 8450395,BG364,Budget Group BG364,A7816,Training and Development,ACT475,Activity ACT475,F1-61,Future 1 F1-61,F2-98,Future 2 F2-98,Revenue,General Ledger,53267.59,63508.91,2227.23,6790.54,E564-BG364-8450395-A7816-F1-61-F2-98
Sep,2025,Q3,9,Sep,Manpower,2024-03-08,N,85226.39,66780.47,337288.63,44615.12,381903.75,70778.29,286556.14,24569.32,E576,Entity E576,VC Office,8450171,Cost Center 8450171,BG980,Budget Group BG980,A3479,IT Equipment,ACT769,Activity ACT769,F1-21,Future 1 F1-21,F2-44,Future 2 F2-44,Expense,Project Ledger,85226.39,66780.47,23674.83,17200.48,E576-BG980-8450171-A3479-F1-21-F2-44
May,2023,Q2,5,May,Manpower,2024-06-20,Y,73756.57,52523.98,113058.27,43427.58,156485.85,10122.58,6465.670000000013,139897.6,E107,Entity E107,DVC-CEC,8450410,Cost Center 8450410,BG442,Budget Group BG442,A2447,Office Supplies,ACT431,Activity ACT431,F1-63,Future 1 F1-63,F2-85,Future 2 F2-85,Revenue,General Ledger,73756.57,52523.98,4125.71,10224.47,E107-BG442-8450410-A2447-F1-63-F2-85
Jun,2023,Q2,6,Jun,Operational,2024-11-02,N,59169.72,70263.38,194973.39,25618.19,220591.58000000002,22991.11,121620.85000000002,75979.62,E678,Entity E678,DVC-CEC,8450451,Cost Center 8450451,BG591,Budget Group BG591,A1193,Salary and Wages,ACT261,Activity ACT261,F1-64,Future 1 F1-64,F2-10,Future 2 F2-10,Revenue,General Ledger,59169.72,70263.38,12209.16,26744.4,E678-BG591-8450451-A1193-F1-64-F2-10
Jan,2023,Q1,1,Jan,Manpower,2024-09-24,N,4564.87,14002.41,210725.72,48576.63,259302.35,85919.06,89805.43000000002,83577.86,E523,Entity E523,DVC-Support Services,8450251,Cost Center 8450251,BG390,Budget Group BG390,A2455,Office Supplies,ACT848,Activity ACT848,F1-93,Future 1 F1-93,F2-65,Future 2 F2-65,Expense,General Ledger,4564.87,14002.41,16110.22,25624.08,E523-BG390-8450251-A2455-F1-93-F2-65
Aug,2025,Q3,8,Aug,Manpower,2024-12-18,N,46285.2,43853.85,187403.93,19839.84,207243.77,9199.09,143023.5,55021.18,E443,Entity E443,VC Office,8450146,Cost Center 8450146,BG916,Budget Group BG916,A5648,Consultancy Services,ACT628,Activity ACT628,F1-97,Future 1 F1-97,F2-30,Future 2 F2-30,Expense,General Ledger,46285.2,43853.85,15222.36,26226.68,E443-BG916-8450146-A5648-F1-97-F2-30
Nov,2024,Q4,11,Nov,Capital,2024-05-26,Y,13148.91,27473.15,257830.43,21091.41,278921.83999999997,114642.75,15177.579999999958,149101.51,E208,Entity E208,DVC-Academic,8450377,Cost Center 8450377,BG544,Budget Group BG544,A4311,Travel Expenses,ACT400,Activity ACT400,F1-78,Future 1 F1-78,F2-17,Future 2 F2-17,Expense,General Ledger,13148.91,27473.15,63.12,21527.16,E208-BG544-8450377-A4311-F1-78-F2-17
Jul,2023,Q3,7,Jul,Operational,2024-06-23,N,68658.99,11448.76,253535.55,22811.83,276347.38,101986.84,153258.56,21101.98,E511,Entity E511,VC Office,8450193,Cost Center 8450193,BG212,Budget Group BG212,A4808,Travel Expenses,ACT431,Activity ACT431,F1-24,Future 1 F1-24,F2-50,Future 2 F2-50,Expense,Project Ledger,68658.99,11448.76,20057.18,20360.1,E511-BG212-8450193-A4808-F1-24-F2-50
Mar,2025,Q1,3,Mar,Manpower,2024-09-22,N,63609.6,91328.69,345029.39,43684.93,388714.32,281418.69,94360.23999999999,12935.39,E613,Entity E613,,8450202,Cost Center 8450202,BG777,Budget Group BG777,A1386,Salary and Wages,ACT449,Activity ACT449,F1-49,Future 1 F1-49,F2-11,Future 2 F2-11,Expense,General Ledger,63609.6,91328.69,12661.03,8851.22,E613-BG777-8450202-A1386-F1-49-F2-11
Jul,2023,Q3,7,Jul,Capital,2024-12-22,Y,80802.26,21605.14,286643.11,40836.16,327479.27,22067.04,187097.80000000002,118314.43,E206,Entity E206,DVC-Support Services,8450255,Cost Center 8450255,BG519,Budget Group BG519,A3658,IT Equipment,ACT528,Activity ACT528,F1-82,Future 1 F1-82,F2-62,Future 2 F2-62,Revenue,Project Ledger,80802.26,21605.14,17708.57,6788.37,E206-BG519-8450255-A3658-F1-82-F2-62
Mar,2025,Q1,3,Mar,Manpower,2024-02-10,Y,9887.36,88965.2,104923.88,18502.62,123426.5,3384.39,72868.65,47173.46,E778,Entity E778,DVC-Academic,8450399,Cost Center 8450399,BG539,Budget Group BG539,A8835,Utilities,ACT106,Activity ACT106,F1-77,Future 1 F1-77,F2-46,Future 2 F2-46,Revenue,General Ledger,9887.36,88965.2,10376.32,4633.79,E778-BG539-8450399-A8835-F1-77-F2-46
Oct,2024,Q4,10,Oct,Manpower,2024-05-05,Y,31121.75,67712.06,342311.7,18229.69,360541.39,78559.28,3373.640000000014,278608.47,E932,Entity E932,VC Office,8450140,Cost Center 8450140,BG487,Budget Group BG487,A6744,Maintenance Costs,ACT976,Activity ACT976,F1-59,Future 1 F1-59,F2-78,Future 2 F2-78,Revenue,Project Ledger,31121.75,67712.06,29323.56,15957.38,E932-BG487-8450140-A6744-F1-59-F2-78
Apr,2024,Q2,4,Apr,Manpower,2024-06-03,N,3095.58,38798.68,164009.97,1167.6,165177.57,124909.53,21804.22,18463.82,E641,Entity E641,DVC-Support Services,8450231,Cost Center 8450231,BG224,Budget Group BG224,A6668,Maintenance Costs,ACT269,Activity ACT269,F1-44,Future 1 F1-44,F2-96,Future 2 F2-96,Revenue,Project Ledger,3095.58,38798.68,29845.74,16361.43,E641-BG224-8450231-A6668-F1-44-F2-96
Nov,2025,Q4,11,Nov,Manpower,2024-05-05,N,3093.76,97074.22,409415.56,49005.45,458421.01,219069.52,111954.85999999999,127396.63,E464,Entity E464,DVC-CEC,8450451,Cost Center 8450451,BG920,Budget Group BG920,A6498,Maintenance Costs,ACT442,Activity ACT442,F1-60,Future 1 F1-60,F2-12,Future 2 F2-12,Revenue,Project Ledger,3093.76,97074.22,7780.05,5838.72,E464-BG920-8450451-A6498-F1-60-F2-12
May,2024,Q2,5,May,Manpower,2024-01-21,N,83068.85,54482.77,166096.82,29149.22,195246.04,195190.16,47.470000000001164,8.41,E965,Entity E965,DVC-Support Services,8450248,Cost Center 8450248,BG534,Budget Group BG534,A7652,Training and Development,ACT372,Activity ACT372,F1-91,Future 1 F1-91,F2-95,Future 2 F2-95,Expense,Project Ledger,83068.85,54482.77,18619.81,6039.36,E965-BG534-8450248-A7652-F1-91-F2-95
Aug,2023,Q3,8,Aug,Operational,2024-05-24,Y,54302.46,22774.97,485611.54,45472.73,531084.27,383518.91,68855.97000000003,78709.39,E239,Entity E239,DVC-Academic,8450355,Cost Center 8450355,BG760,Budget Group BG760,A7538,Training and Development,ACT586,Activity ACT586,F1-14,Future 1 F1-14,F2-90,Future 2 F2-90,Revenue,Project Ledger,54302.46,22774.97,14003.46,1033.84,E239-BG760-8450355-A7538-F1-14-F2-90
Jan,2025,Q1,1,Jan,Capital,2024-05-26,N,98098.74,48340.74,445419.01,29436.58,474855.59,178227.5,211856.66000000003,84771.43,E516,Entity E516,DVC-Academic,8450325,Cost Center 8450325,BG506,Budget Group BG506,A5494,Consultancy Services,ACT814,Activity ACT814,F1-73,Future 1 F1-73,F2-90,Future 2 F2-90,Expense,General Ledger,98098.74,48340.74,29422.18,12227.53,E516-BG506-8450325-A5494-F1-73-F2-90
Apr,2025,Q2,4,Apr,Operational,2024-12-30,Y,20047.45,10926.42,441584.79,21957.49,463542.27999999997,392605.87,7583.799999999988,63352.61,E246,Entity E246,VC Office,8450172,Cost Center 8450172,BG905,Budget Group BG905,A6442,Maintenance Costs,ACT542,Activity ACT542,F1-78,Future 1 F1-78,F2-22,Future 2 F2-22,Expense,Project Ledger,20047.45,10926.42,6622.36,22020.89,E246-BG905-8450172-A6442-F1-78-F2-22
Jun,2023,Q2,6,Jun,Capital,2024-08-01,Y,87204.83,52722.62,353017.64,32223.51,385241.15,315819.85,46275.73000000004,23145.57,E646,Entity E646,DVC-Support Services,8450293,Cost Center 8450293,BG385,Budget Group BG385,A5152,Consultancy Services,ACT833,Activity ACT833,F1-56,Future 1 F1-56,F2-44,Future 2 F2-44,Expense,Project Ledger,87204.83,52722.62,20304.64,24854.08,E646-BG385-8450293-A5152-F1-56-F2-44
Jul,2025,Q3,7,Jul,Operational,2024-03-05,N,83414.46,74047.61,157140.11,37671.4,194811.50999999998,149795.01,15371.309999999969,29645.19,E226,Entity E226,DVC-Academic,8450366,Cost Center 8450366,BG775,Budget Group BG775,A4175,Travel Expenses,ACT634,Activity ACT634,F1-18,Future 1 F1-18,F2-43,Future 2 F2-43,Revenue,Project Ledger,83414.46,74047.61,12226.29,12213.19,E226-BG775-8450366-A4175-F1-18-F2-43
Nov,2025,Q4,11,Nov,Capital,2024-03-12,Y,63208.98,57704.07,379102.51,304.44,379406.95,38297.79,44704.32000000001,296404.84,E165,Entity E165,DVC-Support Services,8450254,Cost Center 8450254,BG474,Budget Group BG474,A8913,Utilities,ACT479,Activity ACT479,F1-25,Future 1 F1-25,F2-69,Future 2 F2-69,Revenue,Project Ledger,63208.98,57704.07,21303.3,20005.63,E165-BG474-8450254-A8913-F1-25-F2-69
Dec,2024,Q4,12,Dec,Manpower,2024-10-21,Y,80348.27,92922.81,262041.08,45305.55,307346.63,98810.62,109181.73999999999,99354.27,E420,Entity E420,DVC-Academic,8450342,Cost Center 8450342,BG769,Budget Group BG769,A1436,Salary and Wages,ACT880,Activity ACT880,F1-30,Future 1 F1-30,F2-28,Future 2 F2-28,Expense,General Ledger,80348.27,92922.81,19434.52,3687.62,E420-BG769-8450342-A1436-F1-30-F2-28
Jul,2025,Q3,7,Jul,Operational,2024-02-01,N,45394.68,82143.2,321862.94,31854.54,353717.48,186153.89,89952.70999999996,77610.88,E977,Entity E977,VC Office,8450162,Cost Center 8450162,BG507,Budget Group BG507,A7846,Training and Development,ACT359,Activity ACT359,F1-86,Future 1 F1-86,F2-68,Future 2 F2-68,Expense,Project Ledger,45394.68,82143.2,8142.28,14900.86,E977-BG507-8450162-A7846-F1-86-F2-68
Feb,2024,Q1,2,Feb,Manpower,2024-09-04,N,72172.16,27154.7,260978.65,5137.41,266116.06,50306.45,46827.090000000026,168982.52,E885,Entity E885,,8450205,Cost Center 8450205,BG825,Budget Group BG825,A7352,Training and Development,ACT442,Activity ACT442,F1-97,Future 1 F1-97,F2-59,Future 2 F2-59,Revenue,General Ledger,72172.16,27154.7,10211.12,28213.46,E885-BG825-8450205-A7352-F1-97-F2-59
Dec,2025,Q4,12,Dec,Capital,2024-04-30,Y,12992.99,56498.44,446619.19,28590.46,475209.65,431110.11,2514.390000000014,41585.15,E182,Entity E182,DVC-Support Services,8450286,Cost Center 8450286,BG297,Budget Group BG297,A7091,Training and Development,ACT790,Activity ACT790,F1-46,Future 1 F1-46,F2-26,Future 2 F2-26,Revenue,General Ledger,12992.99,56498.44,14814.42,11629.46,E182-BG297-8450286-A7091-F1-46-F2-26
Sep,2025,Q3,9,Sep,Manpower,2024-06-23,Y,25423.14,87551.12,173122.89,13921.97,187044.86000000002,24241.14,52730.78,110072.94,E892,Entity E892,,8450203,Cost Center 8450203,BG812,Budget Group BG812,A8122,Utilities,ACT822,Activity ACT822,F1-21,Future 1 F1-21,F2-46,Future 2 F2-46,Revenue,General Ledger,25423.14,87551.12,10801.51,28703.99,E892-BG812-8450203-A8122-F1-21-F2-46
Mar,2025,Q1,3,Mar,Manpower,2024-05-25,N,36870.72,36981.33,120942.01,38378.38,159320.38999999998,66357.65,16530.639999999985,76432.1,E130,Entity E130,DVC-CEC,8450495,Cost Center 8450495,BG627,Budget Group BG627,A5424,Consultancy Services,ACT265,Activity ACT265,F1-84,Future 1 F1-84,F2-63,Future 2 F2-63,Revenue,Project Ledger,36870.72,36981.33,6472.22,20334.4,E130-BG627-8450495-A5424-F1-84-F2-63
Feb,2023,Q1,2,Feb,Capital,2024-08-03,N,65163.98,73859.75,226250.94,32241.63,258492.57,102138.4,44841.30000000002,111512.87,E537,Entity E537,VC Office,8450174,Cost Center 8450174,BG455,Budget Group BG455,A1234,Salary and Wages,ACT326,Activity ACT326,F1-22,Future 1 F1-22,F2-66,Future 2 F2-66,Expense,Project Ledger,65163.98,73859.75,23460.46,16314.17,E537-BG455-8450174-A1234-F1-22-F2-66
May,2024,Q2,5,May,Operational,2024-02-15,Y,37909.4,33734.55,107731.05,6218.42,113949.47,47134.36,33884.31,32930.8,E210,Entity E210,DVC-Support Services,8450211,Cost Center 8450211,BG116,Budget Group BG116,A4253,Travel Expenses,ACT983,Activity ACT983,F1-33,Future 1 F1-33,F2-38,Future 2 F2-38,Expense,General Ledger,37909.4,33734.55,28904.98,15570.97,E210-BG116-8450211-A4253-F1-33-F2-38
Jan,2025,Q1,1,Jan,Capital,2024-06-04,N,77292.15,52129.6,490405.53,6277.51,496683.04000000004,8417.62,112223.80000000005,376041.62,E833,Entity E833,DVC-Academic,8450342,Cost Center 8450342,BG773,Budget Group BG773,A5063,Consultancy Services,ACT835,Activity ACT835,F1-34,Future 1 F1-34,F2-42,Future 2 F2-42,Expense,Project Ledger,77292.15,52129.6,6697.9,19255.8,E833-BG773-8450342-A5063-F1-34-F2-42
May,2023,Q2,5,May,Operational,2024-05-14,N,84706.08,2359.5,459424.24,39159.92,498584.16,389083.17,59350.0,50150.99,E313,Entity E313,VC Office,8450168,Cost Center 8450168,BG743,Budget Group BG743,A9386,Capital Expenditure,ACT588,Activity ACT588,F1-38,Future 1 F1-38,F2-37,Future 2 F2-37,Expense,General Ledger,84706.08,2359.5,1791.49,20149.27,E313-BG743-8450168-A9386-F1-38-F2-37
Aug,2023,Q3,8,Aug,Capital,2024-04-28,Y,53073.74,65095.73,357836.47,28064.68,385901.14999999997,299817.41,68438.19,17645.55,E189,Entity E189,,8450308,Cost Center 8450308,BG461,Budget Group BG461,A1025,Salary and Wages,ACT124,Activity ACT124,F1-19,Future 1 F1-19,F2-54,Future 2 F2-54,Expense,General Ledger,53073.74,65095.73,29449.6,15817.96,E189-BG461-8450308-A1025-F1-19-F2-54
Dec,2025,Q4,12,Dec,Manpower,2024-11-16,Y,94739.52,33734.01,389992.47,26940.65,416933.12,25278.21,121413.12,270241.79,E893,Entity E893,DVC-Academic,8450350,Cost Center 8450350,BG981,Budget Group BG981,A8763,Utilities,ACT919,Activity ACT919,F1-84,Future 1 F1-84,F2-63,Future 2 F2-63,Expense,Project Ledger,94739.52,33734.01,9057.5,22832.65,E893-BG981-8450350-A8763-F1-84-F2-63
Oct,2023,Q4,10,Oct,Operational,2024-02-15,Y,62090.86,92866.03,404341.74,27342.98,431684.72,77836.18,191574.33,162274.21,E102,Entity E102,VC Office,8450115,Cost Center 8450115,BG192,Budget Group BG192,A1492,Salary and Wages,ACT334,Activity ACT334,F1-42,Future 1 F1-42,F2-90,Future 2 F2-90,Revenue,General Ledger,62090.86,92866.03,23794.29,25613.55,E102-BG192-8450115-A1492-F1-42-F2-90
Sep,2025,Q3,9,Sep,Operational,2024-09-08,N,40667.41,95302.0,309015.89,10955.87,319971.76,146855.35,13955.359999999986,159161.05,E410,Entity E410,DVC-CEC,8450467,Cost Center 8450467,BG985,Budget Group BG985,A1619,Salary and Wages,ACT982,Activity ACT982,F1-38,Future 1 F1-38,F2-68,Future 2 F2-68,Expense,Project Ledger,40667.41,95302.0,20949.33,11856.18,E410-BG985-8450467-A1619-F1-38-F2-68
Feb,2025,Q1,2,Feb,Operational,2024-01-08,Y,85422.19,77308.9,223999.97,11601.99,235601.96,107960.98,27908.850000000006,99732.13,E695,Entity E695,VC Office,8450197,Cost Center 8450197,BG853,Budget Group BG853,A6973,Maintenance Costs,ACT192,Activity ACT192,F1-95,Future 1 F1-95,F2-53,Future 2 F2-53,Expense,General Ledger,85422.19,77308.9,271.15,10710.88,E695-BG853-8450197-A6973-F1-95-F2-53
Nov,2023,Q4,11,Nov,Manpower,2024-08-03,N,32167.0,84804.21,391544.58,4769.96,396314.54000000004,169900.84,219809.27000000005,6604.43,E550,Entity E550,DVC-CEC,8450473,Cost Center 8450473,BG752,Budget Group BG752,A2196,Office Supplies,ACT109,Activity ACT109,F1-18,Future 1 F1-18,F2-63,Future 2 F2-63,Revenue,General Ledger,32167.0,84804.21,27585.93,29797.65,E550-BG752-8450473-A2196-F1-18-F2-63
Jul,2023,Q3,7,Jul,Capital,2024-11-18,N,9072.17,3261.79,123081.17,22218.27,145299.44,40036.96,39785.05,65477.43,E784,Entity E784,DVC-Support Services,8450225,Cost Center 8450225,BG960,Budget Group BG960,A1692,Salary and Wages,ACT190,Activity ACT190,F1-91,Future 1 F1-91,F2-77,Future 2 F2-77,Expense,Project Ledger,9072.17,3261.79,27067.09,26320.67,E784-BG960-8450225-A1692-F1-91-F2-77
Oct,2025,Q4,10,Oct,Capital,2024-07-21,Y,3893.0,3601.88,170088.71,43338.52,213427.22999999998,60288.66,7586.609999999986,145551.96,E808,Entity E808,DVC-Academic,8450365,Cost Center 8450365,BG750,Budget Group BG750,A3871,IT Equipment,ACT760,Activity ACT760,F1-85,Future 1 F1-85,F2-35,Future 2 F2-35,Expense,General Ledger,3893.0,3601.88,4314.43,12903.09,E808-BG750-8450365-A3871-F1-85-F2-35
Jul,2024,Q3,7,Jul,Capital,2024-02-09,Y,41944.8,78036.55,290534.29,24876.99,315411.27999999997,64558.42,102566.12999999995,148286.73,E652,Entity E652,DVC-CEC,8450477,Cost Center 8450477,BG246,Budget Group BG246,A1614,Salary and Wages,ACT657,Activity ACT657,F1-37,Future 1 F1-37,F2-77,Future 2 F2-77,Revenue,General Ledger,41944.8,78036.55,26384.9,13800.07,E652-BG246-8450477-A1614-F1-37-F2-77
Aug,2025,Q3,8,Aug,Operational,2024-02-09,Y,33219.1,69361.81,408449.13,32732.53,441181.66000000003,66880.97,46457.05000000005,327843.64,E570,Entity E570,DVC-Support Services,8450290,Cost Center 8450290,BG347,Budget Group BG347,A7771,Training and Development,ACT378,Activity ACT378,F1-78,Future 1 F1-78,F2-62,Future 2 F2-62,Revenue,General Ledger,33219.1,69361.81,0.35,12496.97,E570-BG347-8450290-A7771-F1-78-F2-62
Jun,2023,Q2,6,Jun,Capital,2024-11-08,N,20056.03,20357.84,104036.24,21874.1,125910.34,111145.39,13998.64,766.31,E943,Entity E943,VC Office,8450147,Cost Center 8450147,BG610,Budget Group BG610,A4240,Travel Expenses,ACT442,Activity ACT442,F1-67,Future 1 F1-67,F2-59,Future 2 F2-59,Revenue,Project Ledger,20056.03,20357.84,24540.8,7584.41,E943-BG610-8450147-A4240-F1-67-F2-59
Sep,2024,Q3,9,Sep,Capital,2024-02-16,N,40575.12,22048.84,404993.15,27123.55,432116.7,64645.28,227578.84000000003,139892.58,E898,Entity E898,DVC-Academic,8450311,Cost Center 8450311,BG131,Budget Group BG131,A5538,Consultancy Services,ACT261,Activity ACT261,F1-18,Future 1 F1-18,F2-90,Future 2 F2-90,Expense,Project Ledger,40575.12,22048.84,1272.67,7959.78,E898-BG131-8450311-A5538-F1-18-F2-90
Sep,2025,Q3,9,Sep,Operational,2024-12-22,N,78073.19,70848.97,168835.69,48621.0,217456.69,97597.53,100798.56,19060.6,E882,Entity E882,,8450205,Cost Center 8450205,BG522,Budget Group BG522,A2914,Office Supplies,ACT297,Activity ACT297,F1-10,Future 1 F1-10,F2-32,Future 2 F2-32,Revenue,General Ledger,78073.19,70848.97,25514.15,10338.12,E882-BG522-8450205-A2914-F1-10-F2-32
Nov,2023,Q4,11,Nov,Manpower,2024-03-13,Y,21339.33,66514.62,162930.51,5943.72,168874.23,129141.36,13069.920000000013,26662.95,E208,Entity E208,DVC-Support Services,8450292,Cost Center 8450292,BG291,Budget Group BG291,A5160,Consultancy Services,ACT948,Activity ACT948,F1-76,Future 1 F1-76,F2-24,Future 2 F2-24,Revenue,Project Ledger,21339.33,66514.62,11617.12,27197.17,E208-BG291-8450292-A5160-F1-76-F2-24
Mar,2025,Q1,3,Mar,Capital,2024-03-18,N,61591.19,84327.81,139005.73,27949.03,166954.76,83659.01,24472.860000000015,58822.89,E267,Entity E267,DVC-CEC,8450448,Cost Center 8450448,BG292,Budget Group BG292,A2476,Office Supplies,ACT382,Activity ACT382,F1-89,Future 1 F1-89,F2-15,Future 2 F2-15,Revenue,General Ledger,61591.19,84327.81,28845.4,21432.32,E267-BG292-8450448-A2476-F1-89-F2-15
Dec,2025,Q4,12,Dec,Manpower,2024-02-12,N,80879.0,67715.24,350011.67,15827.48,365839.14999999997,298675.03,33480.27999999997,33683.84,E939,Entity E939,VC Office,8450116,Cost Center 8450116,BG305,Budget Group BG305,A9566,Capital Expenditure,ACT550,Activity ACT550,F1-25,Future 1 F1-25,F2-92,Future 2 F2-92,Expense,Project Ledger,80879.0,67715.24,7425.3,4884.45,E939-BG305-8450116-A9566-F1-25-F2-92
Jan,2024,Q1,1,Jan,Manpower,2024-02-22,Y,19142.77,41165.55,473997.77,21527.01,495524.78,435063.07,23851.860000000044,36609.85,E987,Entity E987,VC Office,8450168,Cost Center 8450168,BG132,Budget Group BG132,A1049,Salary and Wages,ACT979,Activity ACT979,F1-28,Future 1 F1-28,F2-95,Future 2 F2-95,Expense,General Ledger,19142.77,41165.55,1697.57,11217.63,E987-BG132-8450168-A1049-F1-28-F2-95
Apr,2024,Q2,4,Apr,Operational,2024-03-19,Y,19899.21,41833.39,400375.92,5068.64,405444.56,112653.9,211887.01,80903.65,E813,Entity E813,DVC-CEC,8450470,Cost Center 8450470,BG668,Budget Group BG668,A7361,Training and Development,ACT673,Activity ACT673,F1-38,Future 1 F1-38,F2-83,Future 2 F2-83,Expense,Project Ledger,19899.21,41833.39,29120.3,3399.11,E813-BG668-8450470-A7361-F1-38-F2-83
Sep,2023,Q3,9,Sep,Manpower,2024-03-22,N,58218.32,20444.06,307881.71,3702.11,311583.82,188658.6,59398.70000000001,63526.52,E902,Entity E902,DVC-Academic,8450317,Cost Center 8450317,BG613,Budget Group BG613,A6755,Maintenance Costs,ACT891,Activity ACT891,F1-83,Future 1 F1-83,F2-47,Future 2 F2-47,Revenue,Project Ledger,58218.32,20444.06,18109.12,2309.38,E902-BG613-8450317-A6755-F1-83-F2-47
Jun,2025,Q2,6,Jun,Manpower,2024-02-10,N,69579.75,45802.22,136838.1,27668.95,164507.05000000002,105552.97,17462.650000000023,41491.43,E233,Entity E233,DVC-Academic,8450316,Cost Center 8450316,BG382,Budget Group BG382,A4849,Travel Expenses,ACT172,Activity ACT172,F1-57,Future 1 F1-57,F2-79,Future 2 F2-79,Expense,General Ledger,69579.75,45802.22,8132.89,17930.05,E233-BG382-8450316-A4849-F1-57-F2-79
Apr,2023,Q2,4,Apr,Manpower,2024-03-23,N,44908.47,61225.82,185234.0,46952.85,232186.85,1551.5,52515.44,178119.91,E967,Entity E967,,8450207,Cost Center 8450207,BG513,Budget Group BG513,A5120,Consultancy Services,ACT383,Activity ACT383,F1-74,Future 1 F1-74,F2-54,Future 2 F2-54,Revenue,General Ledger,44908.47,61225.82,7593.05,13507.63,E967-BG513-8450207-A5120-F1-74-F2-54
