PO Number,Unique ID,Department,Account No.,Activity Detailed Description,Purchase Type,Supplier,Item Category,Total Approved,Actual Spent,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
PO-000107,ECAE-PP-2025-1107,Academic Services,419807,Maintenance Contract,Urgent,NextGen Solutions,8013.2200 - Maintenance Services,192588.02,192588.02,31704.13,19644.12,13568.79,3101.35,22441.26,9075.08,31721.84,30510.67,23601.56,31169.47,3390.64,8984.72
PO-000108,ECAE-PP-2025-1108,Academic Services,412249,Consulting Service,Regular,NextGen Solutions,8014.3300 - Consulting,201149.62,201149.62,16244.37,30190.57,28221.65,21828.62,1905.95,28997.21,30359.24,12573.43,17639.2,9421.2,493.36,16073.57
PO-000109,ECAE-PP-2025-1109,Facilities,418747,Training Service,Framework,NextGen Solutions,8012.1100 - Training Services,147576.3,147576.3,9793.53,22853.65,3594.15,5149.34,9854.65,23117.19,2799.48,16551.72,3249.69,12900.65,13197.34,1048.43
PO-000110,ECAE-PP-2025-1110,HR,417139,Training Service,Framework,Emirates Services,8012.1100 - Training Services,73523.06,73523.06,11512.03,11205.56,530.14,9440.53,2076.56,2637.9,5634.87,7062.11,3992.3,7050.66,2091.22,273.72
PO-000111,ECAE-PP-2025-1111,Finance,416303,Training Service,Urgent,GWA,8012.1100 - Training Services,217188.78,217188.78,11713.13,5386.58,24055.6,8875.29,16517.78,17795.82,17273.73,21662.74,1066.17,35824.66,25929.1,15398.24
PO-000112,ECAE-PP-2025-1112,Academic Services,416069,Consulting Service,Framework,Emirates Services,8014.3300 - Consulting,170855.89,170855.89,18131.97,2879.33,15602.98,16628.79,6157.57,11153.85,23555.13,4226.09,12372.99,26560.49,14355.0,20648.89
PO-000113,ECAE-PP-2025-1113,Facilities,414257,Maintenance Contract,Urgent,NextGen Solutions,8013.2200 - Maintenance Services,245117.94,245117.94,23414.43,14776.73,14335.24,28094.98,18941.05,30725.28,16266.57,6163.22,18847.43,38851.7,32744.68,8405.47
PO-000114,ECAE-PP-2025-1114,Finance,419704,Utilities,Urgent,NextGen Solutions,8015.4400 - Utilities,123744.07,123744.07,8156.93,17961.4,564.16,14284.05,1481.89,3057.15,14438.36,5975.26,4339.98,16530.68,19515.41,4792.62
PO-000115,ECAE-PP-2025-1115,Finance,413201,Utilities,Regular,ABC Corp,8015.4400 - Utilities,125633.08,125633.08,19134.77,8538.92,4449.23,14489.96,5122.58,19755.88,7697.48,13916.81,7229.03,16902.79,18780.53,16498.1
PO-000116,ECAE-PP-2025-1116,Facilities,418348,Training Service,Regular,Emirates Services,8012.1100 - Training Services,139208.33,139208.33,9489.39,3520.42,22719.49,20906.41,20731.45,18301.73,16054.92,15198.75,2461.52,20894.39,20443.4,17351.22
PO-000117,ECAE-PP-2025-1117,Finance,419347,Consulting Service,Urgent,NextGen Solutions,8014.3300 - Consulting,145652.72999999998,145652.72999999998,3106.33,9391.59,21436.09,9844.34,20236.69,9019.06,6830.76,18810.15,5079.26,5627.8,1209.23,4560.04
PO-000118,ECAE-PP-2025-1118,Facilities,413137,Maintenance Contract,Regular,Emirates Services,8013.2200 - Maintenance Services,115819.22,115819.22,3522.78,6691.27,1253.17,10753.9,11799.1,16707.24,15811.56,5508.71,2643.64,3012.91,18704.11,12995.41
PO-000119,ECAE-PP-2025-1119,HR,412192,Maintenance Contract,Regular,Emirates Services,8013.2200 - Maintenance Services,137686.37,137686.37,4256.54,19955.28,17320.38,6123.55,18474.97,20128.63,16022.7,2303.59,22586.23,1744.05,15018.69,2536.3
PO-000120,ECAE-PP-2025-1120,Academic Services,418030,Utilities,Framework,GlobalTech,8015.4400 - Utilities,245800.64,245800.64,38650.62,32971.81,38343.11,40909.81,17770.53,9302.46,22941.56,36097.23,19079.53,20704.58,5507.54,17224.7
PO-000121,ECAE-PP-2025-1121,Facilities,411483,Maintenance Contract,Regular,GWA,8013.2200 - Maintenance Services,77043.94,77043.94,5113.05,5931.99,6029.91,3465.67,4214.72,10873.73,4413.62,11159.76,3919.84,4364.32,7194.37,1324.22
PO-000122,ECAE-PP-2025-1122,Finance,411710,Utilities,Framework,GWA,8015.4400 - Utilities,126708.29,126708.29,6747.94,7435.94,12658.46,10122.03,4500.27,13946.62,7056.14,13805.22,8102.6,14787.07,14102.62,10745.13
PO-000123,ECAE-PP-2025-1123,Finance,415733,Utilities,Urgent,ABC Corp,8015.4400 - Utilities,66873.41,66873.41,211.06,8896.02,7287.12,3631.06,1094.55,6589.27,3884.78,2846.46,8041.18,3657.42,1516.34,5368.3
PO-000124,ECAE-PP-2025-1124,Finance,415960,Training Service,Regular,NextGen Solutions,8012.1100 - Training Services,240428.72,240428.72,38955.56,11629.73,38315.16,20006.97,12263.26,39606.55,35175.04,27746.14,35861.64,27308.21,17647.62,37989.72
PO-000125,ECAE-PP-2025-1125,Academic Services,412896,Training Service,Regular,GWA,8012.1100 - Training Services,200242.02,200242.02,7383.27,20710.21,18279.02,24790.86,23208.98,27125.87,10384.06,7220.61,26872.44,12033.32,9597.39,11240.87
PO-000126,ECAE-PP-2025-1126,Facilities,413480,Utilities,Urgent,GlobalTech,8015.4400 - Utilities,190679.66,190679.66,23804.57,10673.99,6732.62,864.87,30845.67,14850.43,5140.66,24083.2,28209.5,16778.79,901.26,11604.22
PO-000127,ECAE-PP-2025-1127,Academic Services,419253,Consulting Service,Regular,Emirates Services,8014.3300 - Consulting,175015.65999999997,175015.65999999997,5904.44,7104.6,22856.26,12903.04,11937.11,25875.42,17796.44,23420.28,23622.41,3501.09,19068.03,27784.21
PO-000128,ECAE-PP-2025-1128,Facilities,416987,Maintenance Contract,Framework,Emirates Services,8013.2200 - Maintenance Services,136426.44,136426.44,8652.32,11699.65,21899.01,11466.98,17628.02,17036.89,12879.66,2971.89,4974.08,5460.25,879.03,8622.56
PO-000129,ECAE-PP-2025-1129,Information Technology,414663,IT Manpower Service,Framework,GWA,8011.1600 - Outsourcing Services,78991.51,78991.51,8101.4,1620.59,6526.44,8812.99,1955.13,6543.79,6021.93,12056.09,13108.66,8616.32,11254.44,8516.36
PO-000130,ECAE-PP-2025-1130,Facilities,418202,Utilities,Regular,NextGen Solutions,8015.4400 - Utilities,120898.8,120898.8,15971.4,16485.36,7780.29,5189.41,12054.8,17712.32,14622.68,9514.23,15176.84,13911.37,18397.8,5310.63
PO-000131,ECAE-PP-2025-1131,Information Technology,416616,IT Manpower Service,Urgent,Emirates Services,8011.1600 - Outsourcing Services,67983.08,67983.08,3629.91,6973.01,11008.97,6323.47,6035.87,399.55,9518.75,508.08,10268.08,6103.43,1908.81,5118.08
PO-000132,ECAE-PP-2025-1132,Information Technology,418408,Utilities,Framework,GWA,8015.4400 - Utilities,73165.56,73165.56,6807.6,1184.18,6975.31,9938.09,6557.95,10634.05,9775.83,3372.3,7683.63,90.39,4829.44,2901.75
PO-000133,ECAE-PP-2025-1133,Finance,419861,Consulting Service,Regular,ABC Corp,8014.3300 - Consulting,192938.34,192938.34,26960.84,2713.05,14104.53,8354.76,27282.55,7237.78,24664.75,19664.13,28130.1,19094.27,17894.53,25761.45
PO-000134,ECAE-PP-2025-1134,Information Technology,417968,Training Service,Urgent,GWA,8012.1100 - Training Services,218898.71,218898.71,34212.94,29243.52,837.84,29971.94,21546.85,18930.88,446.16,28488.36,7226.03,26559.02,578.92,29053.46
PO-000135,ECAE-PP-2025-1135,HR,419582,IT Manpower Service,Framework,GlobalTech,8011.1600 - Outsourcing Services,116603.35,116603.35,18211.28,17916.31,14089.49,14975.48,12144.48,13441.71,11995.03,6058.81,6815.26,11169.31,13995.84,7892.47
PO-000136,ECAE-PP-2025-1136,Information Technology,419911,Utilities,Urgent,GWA,8015.4400 - Utilities,201263.32,201263.32,23569.43,26616.56,30780.74,12130.86,1441.16,12157.71,22528.57,7160.15,27169.64,7371.75,337.57,17043.0
PO-000137,ECAE-PP-2025-1137,Information Technology,412083,Maintenance Contract,Framework,Emirates Services,8013.2200 - Maintenance Services,212926.32,212926.32,12384.89,4664.43,21072.22,20659.78,28389.95,7140.02,10319.46,3450.75,10481.02,15192.37,34211.17,23175.82
PO-000138,ECAE-PP-2025-1138,Finance,418610,IT Manpower Service,Urgent,GWA,8011.1600 - Outsourcing Services,102955.85,102955.85,12098.35,11282.01,3336.84,15752.39,3422.3,12645.67,5964.74,6298.87,7815.19,14834.36,2406.63,936.38
PO-000139,ECAE-PP-2025-1139,HR,415904,Consulting Service,Regular,GWA,8014.3300 - Consulting,225819.32,225819.32,1921.58,168.19,33198.09,4337.71,21975.91,35888.19,19266.53,5261.52,14809.4,23486.8,28710.65,22843.05
PO-000140,ECAE-PP-2025-1140,HR,413833,Training Service,Urgent,ABC Corp,8012.1100 - Training Services,245439.61,245439.61,16589.7,29553.16,30767.12,29585.39,11928.34,26017.89,13848.04,34124.3,2254.61,1543.03,4160.55,8277.99
PO-000141,ECAE-PP-2025-1141,Finance,415525,Maintenance Contract,Regular,GWA,8013.2200 - Maintenance Services,162822.83000000002,162822.83000000002,26734.93,23788.63,9232.3,14735.58,14998.76,18598.73,18664.44,21432.71,677.64,25608.78,1901.28,12921.62
PO-000142,ECAE-PP-2025-1142,Finance,411290,Training Service,Framework,GWA,8012.1100 - Training Services,122122.8,122122.8,6566.04,19609.87,9342.18,6552.57,6032.74,869.0,13938.4,5343.18,19517.87,4283.35,10777.16,14969.62
PO-000143,ECAE-PP-2025-1143,HR,412321,Utilities,Framework,Emirates Services,8015.4400 - Utilities,228087.53,228087.53,20460.1,21386.25,37874.62,3968.53,30624.93,10389.86,13731.9,3061.44,13364.93,37663.44,15094.42,25457.91
PO-000144,ECAE-PP-2025-1144,Facilities,418962,Training Service,Framework,ABC Corp,8012.1100 - Training Services,134478.56,134478.56,3798.07,7062.06,18920.65,20135.74,6257.49,515.94,19270.04,8451.79,7384.3,7777.34,9317.04,8478.13
PO-000145,ECAE-PP-2025-1145,Finance,411339,Training Service,Regular,Emirates Services,8012.1100 - Training Services,62163.44,62163.44,5220.52,10290.67,4511.44,5435.63,7202.23,1872.51,9664.62,5481.1,2862.17,9688.27,6480.03,5011.3
PO-000146,ECAE-PP-2025-1146,Facilities,412823,Training Service,Framework,NextGen Solutions,8012.1100 - Training Services,56444.350000000006,56444.350000000006,7481.49,6484.15,9111.68,873.37,6650.27,773.56,1.56,1131.05,5801.78,6361.21,4123.63,433.41
PO-000147,ECAE-PP-2025-1147,Finance,412136,Maintenance Contract,Framework,GlobalTech,8013.2200 - Maintenance Services,81823.86,81823.86,301.29,8570.41,6316.51,9568.47,10692.11,12803.32,13614.75,7495.3,7657.46,306.09,11798.6,391.64
PO-000148,ECAE-PP-2025-1148,Finance,415559,Maintenance Contract,Framework,GlobalTech,8013.2200 - Maintenance Services,134019.72999999998,134019.72999999998,4457.68,7106.89,10822.63,18714.5,7031.97,8410.57,7356.3,200.26,21335.98,3104.7,6425.52,2888.2
PO-000149,ECAE-PP-2025-1149,HR,412450,Consulting Service,Framework,NextGen Solutions,8014.3300 - Consulting,207004.16,207004.16,2926.27,18685.34,25414.3,24704.25,18425.3,16999.78,33449.94,28309.85,24103.57,6734.93,28282.66,25867.96
PO-000150,ECAE-PP-2025-1150,Information Technology,417476,IT Manpower Service,Urgent,ABC Corp,8011.1600 - Outsourcing Services,206189.5,206189.5,27425.31,11011.45,24346.25,34058.36,13400.9,27184.31,8457.52,9687.36,32126.52,891.37,7471.87,16595.53
PO-000151,ECAE-PP-2025-1151,Academic Services,415865,Maintenance Contract,Urgent,GWA,8013.2200 - Maintenance Services,164430.24,164430.24,8054.54,1465.61,13804.17,4983.06,4416.46,10533.56,9914.79,23759.01,15473.9,23419.45,4024.04,9792.1
PO-000152,ECAE-PP-2025-1152,Finance,412412,Training Service,Framework,ABC Corp,8012.1100 - Training Services,91374.2,91374.2,14372.23,13264.37,3208.41,255.87,14264.9,5238.36,4727.25,3985.1,3724.05,11186.54,13826.34,11970.88
PO-000153,ECAE-PP-2025-1153,Information Technology,414161,Utilities,Regular,GWA,8015.4400 - Utilities,72390.84,72390.84,6836.11,7222.2,1710.87,7260.05,11485.68,11803.27,10719.79,9737.52,2526.05,1887.41,5368.36,7475.94
PO-000154,ECAE-PP-2025-1154,Facilities,415444,IT Manpower Service,Urgent,Emirates Services,8011.1600 - Outsourcing Services,201465.39,201465.39,17888.18,7338.69,17263.46,8574.02,6793.96,9258.08,92.66,19144.29,13010.64,30175.79,1366.85,1450.56
PO-000155,ECAE-PP-2025-1155,Academic Services,413198,Utilities,Urgent,Emirates Services,8015.4400 - Utilities,220829.52,220829.52,33298.7,2076.66,29928.99,6278.87,14413.58,7064.97,25859.67,24965.74,20165.33,25695.83,23539.13,28576.89
PO-000156,ECAE-PP-2025-1156,HR,414849,IT Manpower Service,Urgent,GWA,8011.1600 - Outsourcing Services,188060.73,188060.73,10762.29,18900.67,23512.16,28409.94,13726.2,11298.85,13478.57,10145.76,20496.25,29234.57,3951.5,17581.24
PO-000157,ECAE-PP-2025-1157,HR,417983,Maintenance Contract,Framework,Emirates Services,8013.2200 - Maintenance Services,230377.48,230377.48,20190.02,28918.48,20727.89,23585.63,20336.44,38026.78,30395.21,29013.93,24084.41,20287.45,13237.38,30101.43
PO-000158,ECAE-PP-2025-1158,Academic Services,412230,IT Manpower Service,Framework,NextGen Solutions,8011.1600 - Outsourcing Services,122481.17,122481.17,9734.33,5943.37,19292.4,3304.73,15379.22,16331.61,19429.49,11215.53,10918.69,18786.35,16353.14,15588.51
PO-000159,ECAE-PP-2025-1159,Facilities,412707,Consulting Service,Urgent,NextGen Solutions,8014.3300 - Consulting,85443.02,85443.02,10964.67,1709.4,7660.68,11896.03,8415.88,6259.69,4052.08,4704.93,3448.44,2787.24,8385.74,7253.9
PO-000160,ECAE-PP-2025-1160,Finance,413083,Consulting Service,Urgent,Emirates Services,8014.3300 - Consulting,115738.26,115738.26,10349.63,15671.74,8958.14,768.83,17249.08,5591.66,2674.82,19215.67,6701.23,2633.78,6009.56,9911.78
PO-000161,ECAE-PP-2025-1161,HR,418166,Consulting Service,Framework,NextGen Solutions,8014.3300 - Consulting,102049.42,102049.42,114.57,116.77,9152.47,9379.8,9451.81,12275.75,15669.17,16841.05,11923.91,8742.21,2398.07,6534.14
PO-000162,ECAE-PP-2025-1162,Finance,418690,Maintenance Contract,Framework,NextGen Solutions,8013.2200 - Maintenance Services,216401.14,216401.14,28485.61,3869.3,10680.06,20287.8,20911.93,19583.9,35377.38,443.1,17586.15,18192.87,10579.21,18937.67
PO-000163,ECAE-PP-2025-1163,Facilities,413918,IT Manpower Service,Urgent,ABC Corp,8011.1600 - Outsourcing Services,196732.47,196732.47,2244.31,18558.31,11648.43,17709.63,21218.6,21143.45,22084.01,22272.37,3583.2,6286.01,20674.65,13383.46
PO-000164,ECAE-PP-2025-1164,Academic Services,413554,Maintenance Contract,Regular,GlobalTech,8013.2200 - Maintenance Services,186748.52,186748.52,20452.29,25963.78,19816.68,4948.0,9631.41,10282.23,2923.1,21547.87,18522.69,18355.98,14893.73,16904.62
PO-000165,ECAE-PP-2025-1165,HR,417831,Consulting Service,Urgent,Emirates Services,8014.3300 - Consulting,118147.97,118147.97,6202.21,11176.53,5863.11,18313.4,14358.55,7269.45,4147.52,2713.59,15013.04,8920.9,4567.67,18108.66
PO-000166,ECAE-PP-2025-1166,Facilities,416795,IT Manpower Service,Urgent,GlobalTech,8011.1600 - Outsourcing Services,48118.39,48118.39,1281.09,2670.66,2644.94,6574.59,1561.12,4397.33,6278.93,6652.99,5345.68,2402.13,6600.61,5951.97
PO-000167,ECAE-PP-2025-1167,HR,411481,Training Service,Regular,GlobalTech,8012.1100 - Training Services,155088.18,155088.18,24470.56,9490.85,1025.07,23481.5,4148.59,18024.31,22570.61,8016.54,21464.6,8583.05,20530.0,1804.96
PO-000168,ECAE-PP-2025-1168,Finance,416446,Utilities,Urgent,GWA,8015.4400 - Utilities,239509.6,239509.6,2200.96,14315.51,11883.55,15428.88,36633.71,14691.43,36604.12,16898.95,34120.89,20827.36,12428.67,17937.27
PO-000169,ECAE-PP-2025-1169,Information Technology,419685,Utilities,Urgent,GlobalTech,8015.4400 - Utilities,244937.65,244937.65,29671.44,8875.1,7431.98,15364.73,33419.68,25459.52,39091.21,36926.0,6169.86,1737.13,16292.22,21312.82
PO-000170,ECAE-PP-2025-1170,Facilities,417789,Utilities,Urgent,GlobalTech,8015.4400 - Utilities,83017.36,83017.36,12141.32,13264.91,3622.28,4200.45,5017.98,6952.2,9442.68,6978.86,13158.27,1382.15,11049.69,4627.98
PO-000171,ECAE-PP-2025-1171,Finance,417331,Consulting Service,Framework,Emirates Services,8014.3300 - Consulting,196575.42,196575.42,4985.92,27641.32,3321.54,1102.17,3974.5,22724.03,32536.85,19350.74,4072.92,6021.06,17615.84,23446.8
PO-000172,ECAE-PP-2025-1172,Information Technology,418268,Consulting Service,Regular,GWA,8014.3300 - Consulting,217628.67,217628.67,10433.13,33267.27,4688.96,14664.17,107.62,29287.51,6108.79,28037.46,5390.05,15115.72,26412.32,9822.63
PO-000173,ECAE-PP-2025-1173,HR,416144,Utilities,Framework,NextGen Solutions,8015.4400 - Utilities,195381.37,195381.37,29765.18,17953.97,14489.22,98.81,23152.51,18396.93,30529.78,19350.31,32330.93,27803.4,31052.55,10669.87
PO-000174,ECAE-PP-2025-1174,Academic Services,412152,Maintenance Contract,Regular,GWA,8013.2200 - Maintenance Services,141248.54,141248.54,787.4,17722.71,8503.22,5870.57,13559.21,12814.33,20573.77,15914.07,9931.29,15305.18,17659.55,22066.05
PO-000175,ECAE-PP-2025-1175,Finance,415459,Training Service,Urgent,ABC Corp,8012.1100 - Training Services,198042.93,198042.93,8795.17,32129.87,16574.64,28269.89,6446.87,31008.33,26221.92,26692.63,12865.03,16029.5,19584.94,26067.91
PO-000176,ECAE-PP-2025-1176,Finance,412799,Maintenance Contract,Framework,GWA,8013.2200 - Maintenance Services,93718.42,93718.42,1354.69,9481.51,7546.59,14778.14,4633.46,3217.67,14012.26,2322.9,10723.25,4686.23,8869.6,9625.19
PO-000177,ECAE-PP-2025-1177,Facilities,415486,IT Manpower Service,Regular,GWA,8011.1600 - Outsourcing Services,174354.59000000003,174354.59000000003,3265.29,16097.83,10169.35,23612.23,26027.86,6993.1,22180.4,15558.16,11390.21,22863.12,16416.18,18460.78
PO-000178,ECAE-PP-2025-1178,Academic Services,415257,Consulting Service,Framework,GWA,8014.3300 - Consulting,165844.51,165844.51,926.9,20166.06,1561.91,16359.38,21381.74,6387.03,5416.12,7993.1,19337.84,7043.6,13869.3,3716.74
PO-000179,ECAE-PP-2025-1179,Finance,416429,Training Service,Framework,GWA,8012.1100 - Training Services,198155.88,198155.88,11463.58,28033.47,25302.61,6483.79,5183.53,25748.9,12890.15,31354.64,31141.79,22902.88,16532.16,6438.99
PO-000180,ECAE-PP-2025-1180,HR,415469,Training Service,Framework,NextGen Solutions,8012.1100 - Training Services,101408.76,101408.76,15461.6,4127.88,11721.85,12434.63,4630.37,455.83,6173.04,763.88,15224.05,16115.97,12428.99,12282.03
PO-000181,ECAE-PP-2025-1181,Facilities,412408,Consulting Service,Urgent,NextGen Solutions,8014.3300 - Consulting,204116.9,204116.9,4820.71,16793.06,873.19,9588.72,27619.49,33173.78,31070.79,1448.56,31526.89,27986.07,29518.79,31121.93
PO-000182,ECAE-PP-2025-1182,Facilities,417262,Training Service,Urgent,Emirates Services,8012.1100 - Training Services,117373.95,117373.95,16423.04,17883.81,7853.84,16109.15,4888.81,2740.07,6179.31,6683.94,7773.24,7295.94,8042.94,13889.9
PO-000183,ECAE-PP-2025-1183,Information Technology,418901,Maintenance Contract,Regular,GWA,8013.2200 - Maintenance Services,54689.03,54689.03,1242.72,7401.83,8459.37,2395.23,1305.73,2939.31,7585.81,1595.95,7103.62,6528.62,5937.1,3949.62
PO-000184,ECAE-PP-2025-1184,HR,414577,Training Service,Urgent,Emirates Services,8012.1100 - Training Services,49220.41,49220.41,2632.68,6553.32,5559.88,2860.32,7189.44,4177.41,5317.83,4065.86,3713.84,6956.3,2417.58,300.48
PO-000185,ECAE-PP-2025-1185,Academic Services,412593,Utilities,Urgent,NextGen Solutions,8015.4400 - Utilities,69130.65000000001,69130.65000000001,6035.57,6820.22,1401.89,870.07,1921.07,6755.65,2184.75,3171.29,8094.58,2861.37,4580.22,10701.95
PO-000186,ECAE-PP-2025-1186,Facilities,419459,Consulting Service,Urgent,Emirates Services,8014.3300 - Consulting,218777.08,218777.08,32970.05,95.96,22971.16,15039.39,18417.35,27121.23,8282.6,7471.22,25633.67,19010.48,8519.15,17648.7
PO-000187,ECAE-PP-2025-1187,Finance,419095,Consulting Service,Framework,NextGen Solutions,8014.3300 - Consulting,112111.11,112111.11,15079.06,7796.16,4851.44,2205.23,15905.52,16396.16,4975.67,11617.71,4832.99,4206.53,396.28,10784.33
PO-000188,ECAE-PP-2025-1188,Finance,412922,IT Manpower Service,Urgent,GWA,8011.1600 - Outsourcing Services,64778.41,64778.41,2353.37,2740.18,800.39,3182.46,9280.78,7432.51,9449.75,1132.1,4919.02,2475.13,7786.53,10475.08
PO-000189,ECAE-PP-2025-1189,Facilities,415479,Consulting Service,Framework,Emirates Services,8014.3300 - Consulting,119060.47,119060.47,3130.11,12433.66,11345.31,3055.98,16911.83,6529.66,7281.88,8343.36,6403.51,11061.81,7712.1,5148.07
PO-000190,ECAE-PP-2025-1190,Finance,418806,Training Service,Urgent,GlobalTech,8012.1100 - Training Services,205209.99,205209.99,3986.57,741.06,6314.73,6394.56,29347.37,5340.75,29504.1,2965.85,31008.74,8767.72,20914.25,5462.94
PO-000191,ECAE-PP-2025-1191,HR,417178,Training Service,Urgent,Emirates Services,8012.1100 - Training Services,99542.7,99542.7,447.88,11275.46,11312.19,9965.19,14254.89,1341.78,1746.32,14343.03,8349.59,4530.07,12246.36,14838.56
PO-000192,ECAE-PP-2025-1192,HR,415819,Utilities,Urgent,Emirates Services,8015.4400 - Utilities,96807.95,96807.95,2409.7,3585.11,14183.87,10879.94,8049.88,3402.69,5508.53,9266.63,2505.92,7772.78,6598.66,7691.19
PO-000193,ECAE-PP-2025-1193,Academic Services,411275,Training Service,Framework,ABC Corp,8012.1100 - Training Services,210914.92,210914.92,20942.95,20387.62,32463.63,27771.74,30120.33,31328.9,28166.87,11701.6,7558.24,20099.04,24240.04,13588.83
PO-000194,ECAE-PP-2025-1194,Finance,419337,Consulting Service,Urgent,Emirates Services,8014.3300 - Consulting,183458.54,183458.54,19395.68,5636.21,8709.75,28008.22,5608.17,5307.29,14664.93,2819.07,27354.47,3062.2,18852.12,10389.31
PO-000195,ECAE-PP-2025-1195,Facilities,413070,IT Manpower Service,Framework,GWA,8011.1600 - Outsourcing Services,175348.63,175348.63,15032.58,6247.31,5496.46,27862.55,23898.28,344.85,7847.23,5995.03,4299.96,20381.72,16565.71,13266.13
PO-000196,ECAE-PP-2025-1196,HR,412797,Consulting Service,Regular,Emirates Services,8014.3300 - Consulting,112825.89,112825.89,4122.26,16954.23,15849.37,3151.55,6885.44,5844.44,2778.16,11700.2,10479.6,8029.28,16087.06,11653.25
PO-000197,ECAE-PP-2025-1197,Finance,416944,Consulting Service,Framework,GWA,8014.3300 - Consulting,118703.22,118703.22,12899.48,15343.22,1813.88,5946.99,3345.25,10118.81,16572.31,4564.38,14460.1,8028.77,17866.32,12400.32
PO-000198,ECAE-PP-2025-1198,HR,413573,Maintenance Contract,Urgent,ABC Corp,8013.2200 - Maintenance Services,90097.34,90097.34,10320.54,6573.95,12867.87,5893.12,7031.68,6495.83,12180.0,14320.96,4914.45,7133.13,10600.35,13445.25
PO-000199,ECAE-PP-2025-1199,Finance,418593,Utilities,Regular,GWA,8015.4400 - Utilities,255268.9,255268.9,41018.81,11241.57,40134.66,39886.51,35712.56,4172.45,84.89,33775.61,35878.0,40935.84,9291.05,31191.58
PO-000200,ECAE-PP-2025-1200,Information Technology,419996,Training Service,Framework,ABC Corp,8012.1100 - Training Services,103424.09,103424.09,14864.98,14079.11,3693.68,3262.88,13950.69,3183.3,8679.62,3816.72,6516.92,14711.29,15365.69,17180.11
PO-000201,ECAE-PP-2025-1201,Information Technology,416752,Consulting Service,Framework,Emirates Services,8014.3300 - Consulting,207663.25,207663.25,12021.32,26272.38,29189.67,25754.76,26885.7,12460.33,32661.55,14694.67,31047.39,29689.25,4303.16,33443.15
PO-000202,ECAE-PP-2025-1202,Finance,418432,IT Manpower Service,Regular,Emirates Services,8011.1600 - Outsourcing Services,216505.73,216505.73,17024.18,21946.06,18712.23,16103.95,6514.07,14339.91,10177.42,14450.48,21403.69,21969.98,8611.93,3048.35
PO-000203,ECAE-PP-2025-1203,HR,411488,Consulting Service,Regular,Emirates Services,8014.3300 - Consulting,215263.79,215263.79,24777.26,3999.21,17535.33,25203.6,3121.75,28432.65,7964.92,18049.32,33744.8,20497.93,15213.93,243.78
PO-000204,ECAE-PP-2025-1204,Academic Services,415435,Utilities,Framework,Emirates Services,8015.4400 - Utilities,197065.14,197065.14,11070.59,29847.61,14806.27,17356.48,21561.49,2222.11,25660.78,16832.89,21584.44,25356.11,28709.09,12882.16
PO-000205,ECAE-PP-2025-1205,HR,419845,IT Manpower Service,Urgent,Emirates Services,8011.1600 - Outsourcing Services,190292.89,190292.89,8592.26,29052.84,24229.67,9728.96,7583.46,13957.65,9285.97,6882.99,12657.67,815.22,12730.95,7030.14
PO-000206,ECAE-PP-2025-1206,Academic Services,411156,Training Service,Framework,ABC Corp,8012.1100 - Training Services,57141.69,57141.69,1045.76,4129.7,4102.63,9259.86,4437.53,6457.66,4687.53,2570.6,1004.28,8181.49,1453.9,922.78
PO-000207,ECAE-PP-2025-1207,HR,411377,Maintenance Contract,Urgent,Emirates Services,8013.2200 - Maintenance Services,253511.83,253511.83,36878.55,11255.07,9447.55,10448.35,22751.87,12308.57,6216.1,42024.99,38045.08,26830.53,37669.44,39525.15
PO-000208,ECAE-PP-2025-1208,Finance,411389,Consulting Service,Framework,Emirates Services,8014.3300 - Consulting,211894.19,211894.19,29942.13,29608.4,6538.36,5023.39,29478.1,19121.13,22134.81,28577.68,7477.97,4820.06,30337.75,3947.38
PO-000209,ECAE-PP-2025-1209,Facilities,411479,Maintenance Contract,Urgent,GlobalTech,8013.2200 - Maintenance Services,162685.56,162685.56,13967.03,27103.65,25741.35,3035.25,6498.93,25644.45,4086.77,20140.17,30.04,17128.41,13410.72,12771.5
PO-000210,ECAE-PP-2025-1210,Finance,418256,Utilities,Regular,ABC Corp,8015.4400 - Utilities,101473.71,101473.71,9954.98,13020.91,16016.5,10170.11,2614.86,2771.22,9874.45,5639.71,15394.36,10344.27,11441.04,98.44
PO-000211,ECAE-PP-2025-1211,Information Technology,411883,Utilities,Regular,GWA,8015.4400 - Utilities,46821.94,46821.94,1543.72,6325.12,1266.69,3566.61,781.81,4864.57,3656.15,4906.15,5290.57,4833.84,2294.5,6531.34
PO-000212,ECAE-PP-2025-1212,HR,419940,Maintenance Contract,Framework,GlobalTech,8013.2200 - Maintenance Services,183963.98,183963.98,15124.61,19335.55,20578.28,22330.48,26551.44,12045.33,21665.8,22448.96,9206.6,29684.36,26528.19,8887.34
PO-000213,ECAE-PP-2025-1213,Information Technology,412955,Training Service,Regular,GlobalTech,8012.1100 - Training Services,141457.72,141457.72,6716.85,3198.66,5899.5,8536.69,15953.03,7642.72,20844.01,7062.7,3228.38,3981.22,22033.92,10722.84
PO-000214,ECAE-PP-2025-1214,HR,417109,Consulting Service,Regular,ABC Corp,8014.3300 - Consulting,137471.45,137471.45,6334.25,6184.39,21284.65,6948.96,17600.75,14730.41,13577.64,4148.77,788.42,11196.53,22640.6,4485.23
